"region_country","year","total_ev_stock"
"Africa",2013,"102.00894"
"Africa",2014,"126.00433"
"Africa",2015,"850.0409"
"Africa",2016,"1405.0506"
"Africa",2017,"1370.0335"
"Africa",2018,"1590.03648"
"Africa",2019,"2854.07812"
"Africa",2020,"4801.1122"
"Africa",2021,"8057.15607"
"Africa",2022,"22320.54879"
"Africa",2023,"37151.76827"
"Africa",2024,"66304.4874"
"Asia Pacific",2010,"103319.28315"
"Asia Pacific",2011,"158730.41973"
"Asia Pacific",2012,"4113856.443"
"Asia Pacific",2013,"6578311.0508"
"Asia Pacific",2014,"9671617.2935"
"Asia Pacific",2015,"12934871.314"
"Asia Pacific",2016,"16667251.60"
"Asia Pacific",2017,"22463338.14"
"Asia Pacific",2018,"31785454.95"
"Asia Pacific",2019,"41377298.59"
"Asia Pacific",2020,"53142786.55"
"Asia Pacific",2021,"71502353.20"
"Asia Pacific",2022,"84314127.76"
"Asia Pacific",2023,"112020828.84"
"Asia Pacific",2024,"136790354.38"
"Australia",2011,"98.00649"
"Australia",2012,"550.0314"
"Australia",2013,"880.0376"
"Australia",2014,"3200.164"
"Australia",2015,"5360.217"
"Australia",2016,"6850.607"
"Australia",2017,"10800.992"
"Australia",2018,"17232.597"
"Australia",2019,"35363.10"
"Australia",2020,"43483.89"
"Australia",2021,"79163.08"
"Australia",2022,"140823.55"
"Australia",2023,"308203.3"
"Australia",2024,"451637.4"
"Austria",2010,"350.0079"
"Austria",2011,"990.022"
"Austria",2012,"2761.417"
"Austria",2013,"4391.093"
"Austria",2014,"7600.839"
"Austria",2015,"11412.25"
"Austria",2016,"23418.15"
"Austria",2017,"33427.31"
"Austria",2018,"45339.92"
"Austria",2019,"64892.65"
"Austria",2020,"105876.6"
"Austria",2021,"182100.5"
"Austria",2022,"232911.3"
"Austria",2023,"324511.3"
"Austria",2024,"389900.6"
"Belgium",2010,"309.0793"
"Belgium",2011,"950.1775"
"Belgium",2012,"3365.053"
"Belgium",2013,"4046.739"
"Belgium",2014,"8099.986"
"Belgium",2015,"15077.675"
"Belgium",2016,"33339.558"
"Belgium",2017,"60747.23"
"Belgium",2018,"85933.72"
"Belgium",2019,"129948.56"
"Belgium",2020,"221425.12"
"Belgium",2021,"334154.38"
"Belgium",2022,"489312.51"
"Belgium",2023,"745143.26"
"Belgium",2024,"984641.8"
"Brazil",2010,"10.00035"
"Brazil",2011,"8.00028"
"Brazil",2012,"40.0013"
"Brazil",2013,"79.0038"
"Brazil",2014,"135.0050"
"Brazil",2015,"240.00560"
"Brazil",2016,"508.0142"
"Brazil",2017,"1128.0313"
"Brazil",2018,"1499.924849"
