"powertrain","year","total_ev_stock"
"BEV",2010,"421843"
"BEV",2011,"798118"
"BEV",2012,"12765468"
"BEV",2013,"20634840.001"
"BEV",2014,"30582263"
"BEV",2015,"40899089"
"BEV",2016,"54474120"
"BEV",2017,"72248868"
"BEV",2018,"99732607"
"BEV",2019,"133508586"
"BEV",2020,"286500374.8"
"BEV",2021,"387924112"
"BEV",2022,"457923273"
"BEV",2023,"604802721"
"BEV",2024,"721371547"
"BEV",2030,"803052800"
"EV",2010,"208.8371273"
"EV",2011,"339.2391143"
"EV",2012,"1460.5071335"
"EV",2013,"2872.6168557"
"EV",2014,"5113.0793974"
"EV",2015,"10631.0638792"
"EV",2016,"13504.4548292"
"EV",2017,"19462.2278614"
"EV",2018,"28213.213965"
"EV",2019,"33670.459505"
"EV",2020,"76818.839338"
"EV",2021,"119261.285216"
"EV",2022,"169718.07521"
"EV",2023,"244148.67945"
"EV",2024,"671827.441954"
"EV",2030,"2179142.53765"
"FCEV",2010,"156"
"FCEV",2011,"94"
"FCEV",2012,"101"
"FCEV",2013,"514"
"FCEV",2014,"1216.4"
"FCEV",2015,"6437"
"FCEV",2016,"19381"
"FCEV",2017,"36452"
"FCEV",2018,"59483"
"FCEV",2019,"105866.9"
"FCEV",2020,"223483.9"
"FCEV",2021,"353953.9"
"FCEV",2022,"467520"
"FCEV",2023,"531211.9"
"FCEV",2024,"599232.9"
"FCEV",2030,"1797700"
"PHEV",2010,"3529"
"PHEV",2011,"57755"
"PHEV",2012,"409464"
"PHEV",2013,"823442"
"PHEV",2014,"1402747"
"PHEV",2015,"2409066"
"PHEV",2016,"3734459"
"PHEV",2017,"5439864"
"PHEV",2018,"8127776"
"PHEV",2019,"9645107"
"PHEV",2020,"23429252"
"PHEV",2021,"38850992"
"PHEV",2022,"57960841"
"PHEV",2023,"86385867.8"
"PHEV",2024,"132068290.8"
"PHEV",2030,"190050824"
"Publicly available fast",2010,"620"
"Publicly available fast",2011,"1685"
"Publicly available fast",2012,"3418"
"Publicly available fast",2013,"6191"
"Publicly available fast",2014,"10423"
"Publicly available fast",2015,"31700"
"Publicly available fast",2016,"47334"
"Publicly available fast",2017,"58190"
"Publicly available fast",2018,"323989.9"
"Publicly available fast",2019,"558938"
"Publicly available fast",2020,"1583509"
"Publicly available fast",2021,"2348385"
"Publicly available fast",2022,"3775257"
"Publicly available fast",2023,"5898530"
"Publicly available fast",2024,"8224460"
"Publicly available fast",2030,"15970000"
"Publicly available slow",2010,"10980"
"Publicly available slow",2011,"27951"
"Publicly available slow",2012,"83186"
"Publicly available slow",2013,"124583"
"Publicly available slow",2014,"240473"
"Publicly available slow",2015,"405930"
"Publicly available slow",2016,"642899"
"Publicly available slow",2017,"815513"
"Publicly available slow",2018,"1021354"
"Publicly available slow",2019,"1526323"
"Publicly available slow",2020,"3966300"
"Publicly available slow",2021,"5377504"
"Publicly available slow",2022,"8060280"
"Publicly available slow",2023,"11511400"
"Publicly available slow",2024,"15012880"
"Publicly available slow",2030,"18110000"
