"category","year","total_ev_stock"
"2 and 3 wheelers",2010,"273335.8743613"
"Cars",2010,"89110.599507"
"Buses",2010,"30757.644015"
"Vans",2010,"29111.199364"
"EV",2010,"11600"
"Trucks",2010,"3421.519880"
"2 and 3 wheelers",2011,"396978.4758443"
"Cars",2011,"369595.511074"
"Vans",2011,"48421.593309"
"Buses",2011,"37095.036666"
"EV",2011,"29636"
"Trucks",2011,"4215.622221"
"2 and 3 wheelers",2012,"12046049.6366553"
"Cars",2012,"965720.215500"
"Vans",2012,"114268.590058"
"EV",2012,"86604"
"Buses",2012,"45654.291235"
"Trucks",2012,"4800.7736852"
"2 and 3 wheelers",2013,"19348683.2786411"
"Cars",2013,"1892874.310528"
"Vans",2013,"153470.969723"
"EV",2013,"130774"
"Buses",2013,"59474.727738"
"Trucks",2013,"7165.3312256"
"2 and 3 wheelers",2014,"28363223.2011074"
"Cars",2014,"3286780.220617"
"EV",2014,"250896"
"Vans",2014,"195224.25537"
"Buses",2014,"138207.5127699"
"Trucks",2014,"7904.2895331"
"2 and 3 wheelers",2015,"36703017.5442993"
"Cars",2015,"5636589.976427"
"Buses",2015,"548367.274050"
"EV",2015,"437630"
"Vans",2015,"330943.91826"
"Trucks",2015,"106304.3508429"
"2 and 3 wheelers",2016,"47669318.965967"
"Cars",2016,"8812284.412188"
"Buses",2016,"931935.688700"
"EV",2016,"690233"
"Vans",2016,"489909.4524073"
"Trucks",2016,"338015.9355669"
"2 and 3 wheelers",2017,"61222479.877857"
"Cars",2017,"13741162.45271"
"Buses",2017,"1218220.586609"
"Vans",2017,"943882.259535"
"EV",2017,"873703"
"Trucks",2017,"618901.0511504"
"2 and 3 wheelers",2018,"82299754.698463"
"Cars",2018,"22263396.41175"
"Buses",2018,"1470628.574816"
"EV",2018,"1345343.9"
"Vans",2018,"1283834.734659"
"Trucks",2018,"630464.794277"
"2 and 3 wheelers",2019,"110206884.365648"
"Cars",2019,"29272463.72455"
"EV",2019,"2085261"
"Buses",2019,"1661237.01676"
"Vans",2019,"1478154.19688"
"Trucks",2019,"674491.055667"
"2 and 3 wheelers",2020,"140742374.39377"
"Cars",2020,"42447491.71253"
"EV",2020,"3002579"
"Buses",2020,"1829107.44186"
"Vans",2020,"1806257.62088"
"Trucks",2020,"706818.025349"
"2 and 3 wheelers",2021,"178799791.921768"
"Cars",2021,"74664542.17288"
"EV",2021,"4177979"
"Vans",2021,"2589132.16016"
"Buses",2021,"1947800.99106"
"Trucks",2021,"745546.08463"
"2 and 3 wheelers",2022,"189733948.50327"
"Cars",2022,"116319735.2664"
"EV",2022,"6406637"
"Vans",2022,"3958126.87689"
"Buses",2022,"2152722.05830"
"Trucks",2022,"913132.19812"
"2 and 3 wheelers",2023,"238827820.01052"
"Cars",2023,"171558191.4809"
"EV",2023,"9370930"
"Vans",2023,"5695363.30127"
"Buses",2023,"2306421.5414"
"Trucks",2023,"1162491.91777"
"2 and 3 wheelers",2024,"267580779.80553"
"Cars",2024,"237005724.4365"
"EV",2024,"12522340"
"Vans",2024,"8229214.32714"
"Buses",2024,"2583434.6868"
"Trucks",2024,"1568637.378124"
