"region_country","year","total_ev_stock","yoy_change","yoy_percent"
"Africa",2013,"102.00894","0","0"
"Africa",2014,"126.00433","23.99539","23.52"
"Africa",2015,"850.0409","724.03657","574.61"
"Africa",2016,"1405.0506","555.0097","65.29"
"Africa",2017,"1370.0335","-35.0171","-2.49"
"Africa",2018,"1590.03648","220.00298","16.06"
"Africa",2019,"2854.07812","1264.04164","79.50"
"Africa",2020,"4801.1122","1947.03408","68.22"
"Africa",2021,"8057.15607","3256.04387","67.82"
"Africa",2022,"22320.54879","14263.39272","177.03"
"Africa",2023,"37151.76827","14831.21948","66.45"
"Africa",2024,"66304.4874","29152.71913","78.47"
"Asia Pacific",2010,"103319.28315","0","0"
"Asia Pacific",2011,"158730.41973","55411.13658","53.63"
"Asia Pacific",2012,"4113856.443","3955126.02327","2491.73"
"Asia Pacific",2013,"6578311.0508","2464454.6078","59.91"
"Asia Pacific",2014,"9671617.2935","3093306.2427","47.02"
"Asia Pacific",2015,"12934871.314","3263254.0205","33.74"
"Asia Pacific",2016,"16667251.60","3732380.286","28.86"
"Asia Pacific",2017,"22463338.14","5796086.54","34.78"
"Asia Pacific",2018,"31785454.95","9322116.81","41.50"
"Asia Pacific",2019,"41377298.59","9591843.64","30.18"
"Asia Pacific",2020,"53142786.55","11765487.96","28.43"
"Asia Pacific",2021,"71502353.20","18359566.65","34.55"
"Asia Pacific",2022,"84314127.76","12811774.56","17.92"
"Asia Pacific",2023,"112020828.84","27706701.08","32.86"
"Asia Pacific",2024,"136790354.38","24769525.54","22.11"
"Australia",2011,"98.00649","0","0"
"Australia",2012,"550.0314","452.02491","461.22"
"Australia",2013,"880.0376","330.0062","60.00"
"Australia",2014,"3200.164","2320.1264","263.64"
"Australia",2015,"5360.217","2160.053","67.50"
"Australia",2016,"6850.607","1490.390","27.80"
"Australia",2017,"10800.992","3950.385","57.66"
"Australia",2018,"17232.597","6431.605","59.55"
"Australia",2019,"35363.10","18130.503","105.21"
"Australia",2020,"43483.89","8120.79","22.96"
"Australia",2021,"79163.08","35679.19","82.05"
"Australia",2022,"140823.55","61660.47","77.89"
"Australia",2023,"308203.3","167379.75","118.86"
"Australia",2024,"451637.4","143434.1","46.54"
"Austria",2010,"350.0079","0","0"
"Austria",2011,"990.022","640.0141","182.86"
"Austria",2012,"2761.417","1771.395","178.92"
"Austria",2013,"4391.093","1629.676","59.02"
"Austria",2014,"7600.839","3209.746","73.10"
"Austria",2015,"11412.25","3811.411","50.14"
"Austria",2016,"23418.15","12005.90","105.20"
"Austria",2017,"33427.31","10009.16","42.74"
"Austria",2018,"45339.92","11912.61","35.64"
"Austria",2019,"64892.65","19552.73","43.12"
"Austria",2020,"105876.6","40983.95","63.16"
"Austria",2021,"182100.5","76223.9","71.99"
"Austria",2022,"232911.3","50810.8","27.90"
"Austria",2023,"324511.3","91600.0","39.33"
"Austria",2024,"389900.6","65389.3","20.15"
"Belgium",2010,"309.0793","0","0"
"Belgium",2011,"950.1775","641.0982","207.42"
"Belgium",2012,"3365.053","2414.8755","254.15"
"Belgium",2013,"4046.739","681.686","20.26"
"Belgium",2014,"8099.986","4053.247","100.16"
"Belgium",2015,"15077.675","6977.689","86.14"
"Belgium",2016,"33339.558","18261.883","121.12"
"Belgium",2017,"60747.23","27407.672","82.21"
"Belgium",2018,"85933.72","25186.49","41.46"
"Belgium",2019,"129948.56","44014.84","51.22"
"Belgium",2020,"221425.12","91476.56","70.39"
"Belgium",2021,"334154.38","112729.26","50.91"
"Belgium",2022,"489312.51","155158.13","46.43"
"Belgium",2023,"745143.26","255830.75","52.28"
"Belgium",2024,"984641.8","239498.54","32.14"
"Brazil",2010,"10.00035","0","0"
"Brazil",2011,"8.00028","-2.00007","-20.00"
"Brazil",2012,"40.0013","32.00102","400.00"
"Brazil",2013,"79.0038","39.0025","97.50"
"Brazil",2014,"135.0050","56.0012","70.88"
"Brazil",2015,"240.00560","105.00060","77.78"
"Brazil",2016,"508.0142","268.00860","111.67"
"Brazil",2017,"1128.0313","620.0171","122.05"
"Brazil",2018,"1499.924849","371.893549","32.97"
"Brazil",2019,"5184.09738","3684.172531","245.62"
"Brazil",2020,"10890.30501","5706.20763","110.07"
"Brazil",2021,"37373.102","26482.79699","243.18"
"Brazil",2022,"72776.861","35403.759","94.73"
"Brazil",2023,"165266.846","92489.985","127.09"
"Brazil",2024,"375110.842","209843.996","126.97"
"Bulgaria",2015,"21.09","0","0"
"Bulgaria",2016,"13.05","-8.04","-38.12"
"Bulgaria",2017,"106.34","93.29","714.87"
"Bulgaria",2018,"216.64","110.30","103.72"
"Bulgaria",2019,"236.67","20.03","9.25"
"Bulgaria",2020,"181","-55.67","-23.52"
"Bulgaria",2021,"552.2","371.2","205.08"
"Bulgaria",2022,"1144","591.8","107.17"
"Bulgaria",2023,"2165.8","1021.8","89.32"
"Bulgaria",2024,"2175","9.2","0.42"
"Canada",2010,"6.0011","0","0"
"Canada",2011,"1079.04592","1073.04482","17880.80"
"Canada",2012,"5097.16164","4018.11572","372.38"
"Canada",2013,"9861.2663","4764.10466","93.47"
"Canada",2014,"18230.4243","8369.1580","84.87"
"Canada",2015,"28002.56661","9772.14231","53.60"
"Canada",2016,"44831.0569","16828.49029","60.10"
"Canada",2017,"69650.52579","24819.46889","55.36"
"Canada",2018,"139293.73198","69643.20619","99.99"
"Canada",2019,"196547.50127","57253.76929","41.10"
"Canada",2020,"283263.17936","86715.67809","44.12"
"Canada",2021,"417233.4341","133970.25474","47.30"
"Canada",2022,"578084.532","160851.0979","38.55"
"Canada",2023,"800234.761","222150.229","38.43"
"Canada",2024,"1222075.661","421840.900","52.71"
"Central and South America",2010,"13.00266","0","0"
"Central and South America",2011,"30.003466","17.000806","130.75"
"Central and South America",2012,"30208.594313","30178.590847","100583.68"
"Central and South America",2013,"45298.69695","15090.102637","49.95"
"Central and South America",2014,"59326.62671","14027.92976","30.97"
"Central and South America",2015,"75884.77444","16558.14773","27.91"
"Central and South America",2016,"281504.83947","205620.06503","270.96"
"Central and South America",2017,"412717.5776","131212.73813","46.61"
"Central and South America",2018,"545280.0446","132562.4670","32.12"
"Central and South America",2019,"662955.5428","117675.4982","21.58"
"Central and South America",2020,"560583.2800","-102372.2628","-15.44"
